Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Power Industry,Afghanistan,0.057192838,0.057192838,0.117373448,0.175701558,0.207734016,0.211630209,0.242011888,0.37727427,0.274987067,0.303000059,0.312252031,0.36479264,0.362856853,0.508965397,0.461299406,0.644941043,0.677209794,0.742393232,0.686658137,0.612144203,0.605739335,0.563089529,0.333830288,0.353456545,0.229274692,0.360239572,0.397679846,0.39610073,0.480629027,0.44930734,0.389980829,0.350013821,0.324318987,0.386768542,0.343353942,0.493975448,0.547870755,0.686490143,1.209717536,1.750454028,2.102778999,2.668664821,2.301977992,2.14151264,2.184921865,2.403154635,2.381635012,2.536318701,2.714542263,2.412286049,2.497878234,2.547292769
Power Industry,Albania,0.698307449,0.698307449,0.743388485,0.756573552,0.763701748,0.710118669,0.722094925,0.718047715,0.798514009,0.83995538,0.819627706,0.790404767,0.900094407,0.930102718,0.975591716,0.99726377,1.00978364,1.00978364,1.011263674,1.000903438,0.525748649,0.332870442,0.186656292,0.320426596,0.391978353,0.264429646,0.217765566,0.202211091,0.214654604,0.210743281,0.284461123,0.273566916,0.284921458,0.173441471,0.167990539,0.14310318,0.14310318,0.090217185,,0.006221923,0.015554799,0.031109274,,,,,,,,,,
Power Industry,Algeria,1.646116787,1.646116787,1.550491851,1.222247937,1.465508623,2.112270956,2.531356857,2.819811528,3.299718321,3.663048019,5.124959499,5.312962776,6.918949325,7.857055326,8.114465375,8.595718488,10.24934755,9.439935049,10.40102101,10.3946593,10.22499878,10.59444083,11.03011563,11.52845011,12.34654498,12.54752843,12.61180202,13.34900587,14.95336085,15.60663966,15.83669575,16.62208065,17.55263166,18.78391814,19.8419636,20.65592548,22.0065893,22.3313461,24.12262535,24.67320395,25.09322665,28.12871941,30.93796423,30.1027683,32.63885432,36.78421898,36.17176883,37.73876567,38.63585919,39.44322424,38.11777616,40.04570688
Power Industry,Angola,0.137584287,0.137584287,0.159267651,0.168796307,0.371818686,0.352955852,0.346538807,0.346538807,0.346538807,0.386988094,0.399822184,0.399822184,0.42199108,0.459522902,0.117356874,0.160917764,0.204478337,0.173363552,0.260485008,0.244927616,0.291599792,0.244927616,0.172586962,0.125235417,0.175019198,0.171907594,0.197090547,0.416629678,0.385126281,0.621107697,0.728548262,0.820624961,0.820624961,1.027529371,0.653290455,0.767438503,0.868947243,0.976775149,1.385920126,2.226378347,2.369112639,2.229586869,2.699129471,3.993658132,5.669710708,6.130962446,4.198262959,4.07150885,4.016468964,4.612129507,4.304458056,4.687903324
Power Industry,Anguilla,0.000429951,0.000429951,0.00043589,0.000438441,0.000446635,0.000479856,0.000521363,0.000449383,0.000542579,0.000661637,0.000455851,0.000451962,0.000445261,0.000416852,0.000409832,0.000403235,0.000444456,0.00046412,0.000359471,0.000374067,0.000402217,0.000420277,0.000442835,0.000443783,0.00045567,0.000461067,0.000497932,0.000459605,0.00057376,0.000490763,0.00064809,0.00073057,0.000721046,0.000750786,0.000752824,0.000744821,0.000736683,0.000760327,0.000776913,0.000778195,0.000789682,0.000910453,0.000910453,0.000977533,0.000975978,0.000979804,0.001017828,0.001055853,0.00102538,0.001032938,0.000869824,0.000998437
Power Industry,Antigua and Barbuda,0.142982673,0.142982673,0.140725407,0.158609382,0.141267015,0.175807459,0.188385235,0.194779777,0.232059144,0.201796051,0.201766189,0.172419623,0.223405676,0.132341111,0.164963424,0.169002611,0.167391181,0.207961644,0.207286889,0.164623086,0.172804216,0.197646934,0.214342096,0.173600243,0.184695795,0.216073886,0.216538322,0.202647228,0.221287808,0.198240698,0.226777198,0.227523731,0.275247303,0.42511714,0.428327689,0.432168523,0.449919613,0.463864625,0.475577902,0.512318828,0.552909884,0.61214374,0.625615246,0.598327035,0.624779175,0.620881182,0.632541471,0.377456587,0.396280238,0.392781504,0.324160826,0.361151643
Power Industry,Argentina,19.29055919,19.29055919,21.12914746,19.77668386,18.81788265,18.42527346,19.02865631,21.5574835,18.63247546,20.82899373,18.69948795,17.23378244,15.70561279,17.19685008,15.76883939,14.21608063,17.72154004,18.85510844,25.20311809,24.85100957,18.80808468,20.8843651,19.59744711,20.14299109,20.61080471,21.16078136,24.48540705,22.74394014,25.37622729,30.06854161,28.95658878,26.2991311,23.76447872,27.64653336,34.36328953,36.70694357,39.63786044,39.03268377,43.02582532,40.19818118,42.83849856,48.20318191,50.69191076,48.31779006,50.02684223,52.20435283,53.51539659,50.76699168,47.06226351,39.96352717,38.30374617,42.48759442
Power Industry,Armenia,2.0015394,2.0015394,2.2118694,2.6535921,3.0736881,3.4151121,3.6310179,3.8067099,3.9962256,4.202337,4.3756233,4.6296243,4.7257137,4.778451,4.6947894,4.6767087,4.5687459,4.5277467,4.2611496,3.8532465,6.10044379,7.799630305,4.866372029,0.813069159,0.821078767,1.392344239,1.536509382,1.801329575,1.786437186,1.455828587,1.600987388,1.539440044,0.917403311,0.87817257,0.766690549,0.949464596,0.903417649,1.081546256,1.040397013,0.645312583,0.632740658,0.945425138,1.431643984,1.321323205,1.130853332,1.27188366,1.172911552,1.238891548,1.483943422,1.353361006,1.428465952,1.512051675
Power Industry,Aruba,0.034724363,0.034724363,0.03417617,0.038519421,0.034307704,0.042696097,0.0457507,0.04730366,0.056357221,0.049007612,0.04900036,0.046898137,0.044681135,0.044995978,0.050988695,0.052237171,0.050889924,0.050781914,0.187531172,0.200995605,0.212235419,0.272268547,0.324854042,0.270805619,0.300518876,0.369636439,0.245191659,0.360373831,0.384476967,0.341681879,0.416419494,0.431002119,0.477101934,0.688209849,0.707206353,0.74474071,0.73996058,0.759319593,0.739844269,0.775735183,0.808757376,0.758619448,0.896292148,0.846442488,0.867820889,0.87516957,0.865655963,0.636499816,0.626469844,0.644431576,0.531846511,0.592536869
Power Industry,Australia,53.31878581,52.54065838,58.06052985,59.26016581,65.33480491,69.56589917,71.93649173,80.93241037,75.53886415,78.78664845,89.13339309,92.93164603,98.71240628,93.88487646,96.55080151,104.3198535,104.2330191,111.237952,116.588637,125.9215049,128.814494,131.139349,133.8678393,134.7625323,136.9654553,142.5970881,149.3268748,153.6798853,172.6465533,176.1220105,178.86814,186.6201373,203.126259,187.2513311,196.461576,201.6282302,205.2058135,211.601133,211.5646445,222.2027483,210.6725381,202.7129185,201.736633,191.4447748,182.3176049,190.3806567,194.5494785,192.5366955,184.9243923,180.5833386,174.0987989,167.0365847
